time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,
638140284137135052,1406.44,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137135433,1406.44,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137135808,1406.55,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137137421,1406.55,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137137970,1406.57,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137138638,1406.57,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137139016,1406.57,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137139406,1406.57,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137139767,1406.57,1406.12,1404.63,1408.62,1406.79,1405.1,0,0,
638140284137158330,1406.57,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138015054,1406.58,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138015897,1406.58,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138016737,1406.6,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138017058,1406.62,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138019552,1406.65,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138019937,1406.68,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138020641,1406.68,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138022233,1406.72,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138023019,1406.75,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138024977,1406.79,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138026984,1406.82,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138028806,1406.83,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138030054,1406.85,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138032125,1406.88,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138032974,1406.89,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138036588,1406.94,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138040875,1407.01,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138042850,1407.04,1406.72,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138110993,1407.04,1407.05,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138937823,1406.95,1407.05,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138938740,1406.95,1407.05,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138951992,1406.95,1406.96,1404.63,1408.62,1406.79,1405.1,0,0,
638140284138956004,1406.95,1406.96,1404.63,1408.62,1406.79,1405.1,0,0,
638140284139926678,1406.88,1406.96,1404.63,1408.62,1406.79,1405.1,0,0,
638140284139930296,1406.88,1406.92,1404.63,1408.62,1406.79,1405.1,0,0,
638140284139930718,1406.91,1406.92,1404.63,1408.62,1406.79,1405.1,0,0,
638140284139933315,1406.91,1406.92,1404.63,1408.62,1406.79,1405.1,0,0,
