time,binanceBCHBTCbidMax,binanceBCHBTCsellMin,nicehashBCHBTCbidMax,nicehashBCHBTCsellMin,okxBCHBTCBCH-BTCbidMax,okxBCHBTCBCH-BTCsellMin,bitstampBCHBTCbidMax,bitstampBCHBTCsellMin,
638140289442206962,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00546,0,0,
638140289451160379,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00545,0,0,
638140289471245098,0.00545,0.00546,0.00544287,0.00546725,0.00544,0.00546,0,0,
638140289473195945,0.00544,0.00546,0.00544287,0.00546725,0.00544,0.00546,0,0,
638140289473199077,0.00544,0.00545,0.00544287,0.00546725,0.00544,0.00546,0,0,
638140289473615028,0.00544,0.00545,0.00544287,0.00546725,0.00544,0.00545,0,0,
638140289474454250,0.00544,0.00545,0.00544287,0.00546725,0.00543,0.00545,0,0,
638140289474976770,0.00544,0.00545,0.00544256,0.00546725,0.00543,0.00545,0,0,
638140289507081841,0.00544,0.00546,0.00544256,0.00546725,0.00543,0.00545,0,0,
638140289557119271,0.00544,0.00545,0.00544256,0.00546725,0.00543,0.00545,0,0,
638140289558357253,0.00544,0.00545,0.00544256,0.00545744,0.00543,0.00545,0,0,
638140289572157726,0.00544,0.00545,0.00544256,0.00545744,0.00544,0.00545,0,0,
638140289621212719,0.00544,0.00545,0.00544256,0.00545744,0.00544,0.00546,0,0,
638140289624197652,0.00544,0.00545,0.00544256,0.00545744,0.00544,0.00545,0,0,
638140289640854130,0.00544,0.00545,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140289644200779,0.00544,0.00545,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140289647241376,0.00544,0.00545,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140289658344565,0.00545,0.00545,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140289658345847,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140289667158177,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140289670464562,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140289690174363,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140289693222574,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140289713033441,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140289717176892,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140289737114293,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140289740235752,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140289760093859,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140289772658978,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00546,0,0,
638140289786432294,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140289806089810,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00546,0,0,
638140289810200577,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140289830050770,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00546,0,0,
638140289893094021,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140289913143406,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00546,0,0,
638140289919065485,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140289939125469,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00546,0,0,
638140289949507497,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140289978093427,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140289981841722,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140289998102892,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00546,0,0,
638140290001064638,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140290021191684,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00546,0,0,
638140290024069159,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140290056401966,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140290076196782,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140290098129228,0.00545,0.00546,0.00544256,0.00546689,0.00545,0.00546,0,0,
638140290107118214,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140290138139332,0.00545,0.00546,0.00544256,0.00546689,0.00545,0.00546,0,0,
638140290158028790,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140290186114439,0.00545,0.00546,0.00544256,0.00546689,0.00545,0.00546,0,0,
638140290206211875,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140290285162855,0.00545,0.00546,0.00544256,0.00546689,0.00545,0.00546,0,0,
638140290305197430,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140290318255918,0.00545,0.00546,0.00544256,0.00546689,0.00545,0.00546,0,0,
638140290338199922,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140290561175631,0.00545,0.00546,0.00544256,0.00546689,0.00545,0.00546,0,0,
638140290581083468,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140290657249025,0.00545,0.00546,0.00544256,0.00546689,0.00545,0.00546,0,0,
638140290672185699,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140290982243794,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140291002212306,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00546,0,0,
638140291004122800,0.00545,0.00546,0.00544256,0.00546689,0.00544,0.00545,0,0,
638140291013809394,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140291043252063,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00546,0,0,
638140291708242342,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140291711223643,0.00545,0.00546,0.00543304,0.00546689,0.00543,0.00545,0,0,
638140291737215625,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
638140291807175295,0.00545,0.00546,0.00543304,0.00546689,0.00543,0.00545,0,0,
638140291810102409,0.00545,0.00546,0.00543304,0.00546689,0.00544,0.00545,0,0,
