time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,
638140283133321581,0.003689,0.003691,0.0036875,0.00369749,0.003689,0.003692,0,0,
638140283133321929,0.003689,0.00369,0.0036875,0.00369749,0.003689,0.003692,0,0,
638140283133837832,0.003689,0.00369,0.0036875,0.00369749,0.003687,0.003692,0,0,
638140283133841346,0.003689,0.00369,0.0036875,0.00369749,0.003687,0.00369,0,0,
638140283134410485,0.003689,0.00369,0.0036875,0.00369503,0.003687,0.00369,0,0,
638140283134410845,0.003689,0.00369,0.0036875,0.00369503,0.003687,0.00369,0,0,
638140283134832670,0.003689,0.00369,0.0036875,0.00369503,0.003687,0.003689,0,0,
638140283135274003,0.003688,0.00369,0.0036875,0.00369503,0.003687,0.003689,0,0,
638140283135275823,0.003688,0.003689,0.0036875,0.00369503,0.003687,0.003689,0,0,
638140283136196690,0.003687,0.003689,0.0036875,0.00369503,0.003687,0.003689,0,0,
638140283136842418,0.003687,0.003689,0.0036875,0.00369503,0.003686,0.003689,0,0,
638140283139230402,0.003688,0.003689,0.0036875,0.00369503,0.003686,0.003689,0,0,
638140283144203308,0.003686,0.003689,0.0036875,0.00369503,0.003686,0.003689,0,0,
638140283144204470,0.003686,0.003687,0.0036875,0.00369503,0.003686,0.003689,0,0,
638140283146506968,0.003686,0.003687,0.0036875,0.00369265,0.003686,0.003689,0,0,
638140283148085714,0.003687,0.003688,0.0036875,0.00369265,0.003686,0.003689,0,0,
638140283148086257,0.003687,0.003688,0.0036875,0.00369265,0.003686,0.003689,0,0,
638140283160812271,0.003687,0.003688,0.0036875,0.00369265,0.003686,0.003687,0,0,
638140283169778512,0.003687,0.003688,0.0036875,0.00369265,0.003686,0.003689,0,0,
638140283169778948,0.003687,0.003688,0.0036875,0.00369265,0.003686,0.003689,0,0,
638140283176819637,0.003687,0.003688,0.0036875,0.00369265,0.003687,0.003689,0,0,
638140283178881717,0.003687,0.003688,0.0036875,0.00369265,0.003686,0.003688,0,0,
638140283178882189,0.003687,0.003688,0.0036875,0.00369265,0.003686,0.003688,0,0,
638140283179206881,0.003686,0.003688,0.0036875,0.00369265,0.003686,0.003688,0,0,
638140283179209380,0.003686,0.003687,0.0036875,0.00369265,0.003686,0.003688,0,0,
638140283180784548,0.003686,0.003687,0.0036875,0.00369265,0.003686,0.003687,0,0,
638140283224539841,0.003687,0.003687,0.0036875,0.00369265,0.003686,0.003687,0,0,
638140283224540610,0.003687,0.003688,0.0036875,0.00369265,0.003686,0.003687,0,0,
638140283235281384,0.003688,0.003688,0.0036875,0.00369265,0.003686,0.003687,0,0,
638140283235283065,0.003688,0.003689,0.0036875,0.00369265,0.003686,0.003687,0,0,
638140283237328640,0.003688,0.003689,0.0036875,0.00369501,0.003686,0.003687,0,0,
638140283245424909,0.003689,0.003689,0.0036875,0.00369501,0.003686,0.003687,0,0,
638140283245428847,0.003689,0.00369,0.0036875,0.00369501,0.003686,0.003687,0,0,
638140283247124772,0.003689,0.00369,0.0036875,0.00369501,0.003688,0.003687,0,0,
638140283247126335,0.003689,0.00369,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283250086133,0.003689,0.00369,0.0036875,0.00369501,0.003688,0.003689,0,0,
638140283253034859,0.003689,0.00369,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283265413419,0.00369,0.00369,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283265417366,0.00369,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283274249211,0.003689,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283282305482,0.00369,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283290297630,0.00369,0.003692,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283294237341,0.003691,0.003692,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283297367854,0.00369,0.003692,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283304196840,0.003691,0.003692,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283309863129,0.003691,0.003692,0.0036875,0.00369501,0.003689,0.00369,0,0,
638140283314862452,0.003691,0.003692,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283317214780,0.00369,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283317216684,0.00369,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283333256414,0.003689,0.003691,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283355398902,0.003689,0.00369,0.0036875,0.00369501,0.003688,0.00369,0,0,
638140283369324704,0.00369,0.00369,0.0036875,0.00369501,0.003688,0.00369,0,0,
