time,binanceBTCUSDTbidMax,binanceBTCUSDTsellMin,nicehashBTCUSDTbidMax,nicehashBTCUSDTsellMin,okxBTCUSDTBTC-USDTbidMax,okxBTCUSDTBTC-USDTsellMin,bitstampBTCUSDTbidMax,bitstampBTCUSDTsellMin,
638140289760270382,19870.63,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760271980,19870.63,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760273378,19870.63,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760273883,19870.63,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760285725,19870.63,19870.87,19853.69,19900.5,19869.7,19808.6,0,0,
638140289760286208,19870.63,19870.87,19853.69,19900.5,19869.7,19808.6,0,0,
638140289761207941,19870.43,19870.87,19853.69,19900.5,19869.7,19808.6,0,0,
638140289761222625,19870.43,19870.67,19853.69,19900.5,19869.7,19808.6,0,0,
638140289761223312,19870.43,19870.67,19853.69,19900.5,19869.7,19808.6,0,0,
638140289762147820,19870.26,19870.67,19853.69,19900.5,19869.7,19808.6,0,0,
638140289762159276,19870.26,19871,19853.69,19900.5,19869.7,19808.6,0,0,
638140289763077017,19870.26,19871,19853.69,19900.5,19869,19808.6,0,0,
638140289763248530,19870.25,19871,19853.69,19900.5,19869,19808.6,0,0,
638140289763249669,19870.34,19871,19853.69,19900.5,19869,19808.6,0,0,
638140289763261693,19870.34,19870.85,19853.69,19900.5,19869,19808.6,0,0,
638140289764187298,19870.48,19870.85,19853.69,19900.5,19869,19808.6,0,0,
638140289764191129,19870.51,19870.85,19853.69,19900.5,19869,19808.6,0,0,
638140289764193610,19870.51,19870.85,19853.69,19900.5,19869,19808.6,0,0,
638140289764194138,19870.51,19870.85,19853.69,19900.5,19869,19808.6,0,0,
638140289764194794,19870.51,19870.85,19853.69,19900.5,19869,19808.6,0,0,
638140289764202533,19870.51,19871.47,19853.69,19900.5,19869,19808.6,0,0,
638140289765124905,19870.51,19871.47,19853.69,19900.5,19870.5,19808.6,0,0,
638140289765157249,19870.51,19872.18,19853.69,19900.5,19870.5,19808.6,0,0,
638140289765162202,19870.52,19872.18,19853.69,19900.5,19870.5,19808.6,0,0,
638140289765163707,19871.02,19872.18,19853.69,19900.5,19870.5,19808.6,0,0,
638140289765165497,19871.02,19872.18,19853.69,19900.5,19870.5,19808.6,0,0,
638140289765166203,19871.24,19872.18,19853.69,19900.5,19870.5,19808.6,0,0,
638140289765167750,19871.24,19872.18,19853.69,19900.5,19870.5,19808.6,0,0,
638140289766073664,19870.83,19872.18,19853.69,19900.5,19870.5,19808.6,0,0,
638140289766098309,19870.83,19872.18,19853.69,19900.5,19870.5,19808.6,0,0,
638140289766104809,19870.83,19872.13,19853.69,19900.5,19870.5,19808.6,0,0,
638140289766105317,19870.83,19872.13,19853.69,19900.5,19870.5,19808.6,0,0,
638140289767158504,19870.84,19872.13,19853.69,19900.5,19870.5,19808.6,0,0,
638140289767161816,19870.98,19872.13,19853.69,19900.5,19870.5,19808.6,0,0,
638140289767162502,19870.98,19872.13,19853.69,19900.5,19870.5,19808.6,0,0,
638140289767167539,19870.98,19872.11,19853.69,19900.5,19870.5,19808.6,0,0,
638140289767169108,19870.98,19872.1,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768121772,19870.98,19871.62,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768123098,19870.98,19871.62,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768123788,19870.98,19871.62,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768124298,19870.98,19871.62,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768127532,19870.98,19870.9,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768129497,19870.98,19870.81,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768129995,19870.98,19870.79,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768130501,19870.98,19870.79,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768145879,19870.07,19870.79,19853.69,19900.5,19870.5,19808.6,0,0,
638140289768146749,19870.07,19870.79,19853.69,19900.5,19870.5,19808.6,0,0,
638140289769192977,19870.08,19870.79,19853.69,19900.5,19870.5,19808.6,0,0,
638140289769204218,19870.08,19870.69,19853.69,19900.5,19870.5,19808.6,0,0,
638140289769204869,19870.08,19870.68,19853.69,19900.5,19870.5,19808.6,0,0,
638140289769205361,19870.08,19870.68,19853.69,19900.5,19870.5,19808.6,0,0,
638140289769206249,19870.08,19870.67,19853.69,19900.5,19870.5,19808.6,0,0,
638140289769206933,19870.08,19870.66,19853.69,19900.5,19870.5,19808.6,0,0,
638140289770180332,19869.44,19870.66,19853.69,19900.5,19870.5,19808.6,0,0,
638140289770185024,19869.44,19870.66,19853.69,19900.5,19870.5,19808.6,0,0,
638140289771116663,19869,19870.66,19853.69,19900.5,19870.5,19808.6,0,0,
638140289771156593,19869,19870.65,19853.69,19900.5,19870.5,19808.6,0,0,
638140289771157470,19869,19870.48,19853.69,19900.5,19870.5,19808.6,0,0,
638140289771158524,19869,19870.48,19853.69,19900.5,19870.5,19808.6,0,0,
638140289771159264,19869,19870.48,19853.69,19900.5,19870.5,19808.6,0,0,
638140289771168579,19868.95,19870.48,19853.69,19900.5,19870.5,19808.6,0,0,
638140289772200477,19868.49,19870.48,19853.69,19900.5,19870.5,19808.6,0,0,
638140289772220274,19868.49,19870.47,19853.69,19900.5,19870.5,19808.6,0,0,
638140289772222162,19868.49,19870.26,19853.69,19900.5,19870.5,19808.6,0,0,
638140289772222883,19868.49,19870.14,19853.69,19900.5,19870.5,19808.6,0,0,
638140289772223848,19868.49,19870.07,19853.69,19900.5,19870.5,19808.6,0,0,
638140289772224199,19868.49,19870.03,19853.69,19900.5,19870.5,19808.6,0,0,
638140289772224714,19868.49,19870.03,19853.69,19900.5,19870.5,19808.6,0,0,
638140289772225228,19868.49,19870.03,19853.69,19900.5,19870.5,19808.6,0,0,
638140289773145370,19868.49,19870.44,19853.69,19900.5,19870.5,19808.6,0,0,
638140289773152147,19868.49,19869.64,19853.69,19900.5,19870.5,19808.6,0,0,
638140289773176266,19868.49,19869.64,19853.69,19900.5,19868.8,19808.6,0,0,
638140289773211330,19868.06,19869.64,19853.69,19900.5,19868.8,19808.6,0,0,
638140289774123861,19868.06,19870,19853.69,19900.5,19868.8,19808.6,0,0,
638140289774127490,19868.06,19869.55,19853.69,19900.5,19868.8,19808.6,0,0,
638140289774128025,19868.06,19869.54,19853.69,19900.5,19868.8,19808.6,0,0,
638140289774128546,19868.06,19869.54,19853.69,19900.5,19868.8,19808.6,0,0,
638140289774158402,19868.38,19869.54,19853.69,19900.5,19868.8,19808.6,0,0,
638140289774182212,19868.41,19869.54,19853.69,19900.5,19868.8,19808.6,0,0,
638140289775164422,19868.38,19869.54,19853.69,19900.5,19868.8,19808.6,0,0,
638140289775167331,19868.54,19869.54,19853.69,19900.5,19868.8,19808.6,0,0,
638140289775186070,19868.54,19869.53,19853.69,19900.5,19868.8,19808.6,0,0,
638140289775187453,19868.54,19869.5,19853.69,19900.5,19868.8,19808.6,0,0,
638140289776158173,19868.88,19869.5,19853.69,19900.5,19868.8,19808.6,0,0,
638140289776166469,19868.88,19869.53,19853.69,19900.5,19868.8,19808.6,0,0,
638140289776168336,19868.88,19869.42,19853.69,19900.5,19868.8,19808.6,0,0,
638140289776168842,19868.88,19869.41,19853.69,19900.5,19868.8,19808.6,0,0,
638140289776169356,19868.88,19869.41,19853.69,19900.5,19868.8,19808.6,0,0,
638140289777210780,19868.33,19869.41,19853.69,19900.5,19868.8,19808.6,0,0,
638140289777215344,19868.33,19869.4,19853.69,19900.5,19868.8,19808.6,0,0,
638140289777216002,19868.33,19869.4,19853.69,19900.5,19868.8,19808.6,0,0,
638140289777216596,19868.33,19869.4,19853.69,19900.5,19868.8,19808.6,0,0,
638140289777217097,19868.33,19869.39,19853.69,19900.5,19868.8,19808.6,0,0,
638140289777217935,19868.33,19869.38,19853.69,19900.5,19868.8,19808.6,0,0,
638140289778152135,19868.35,19869.38,19853.69,19900.5,19868.8,19808.6,0,0,
638140289778159203,19868.35,19869.37,19853.69,19900.5,19868.8,19808.6,0,0,
638140289778159919,19868.35,19869.37,19853.69,19900.5,19868.8,19808.6,0,0,
