time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,cryptoLTCBTCbidMax,cryptoLTCBTCsellMin,
638143201355855700,0.003384,0.003386,0.00337846,0.0033883,0.003383,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201355856920,0.003384,0.003385,0.00337846,0.0033883,0.003383,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201356154535,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201357112433,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201357157039,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201357458431,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201357972469,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201357974474,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201360989881,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201361802966,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201363879750,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201363985300,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201364751497,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201365891706,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201365917531,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201366722026,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201366924528,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201367833642,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201368874780,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338036,0.00338008,0.0033822,0.0033792,
638143201368919713,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201370826037,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201370826781,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201371853729,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201371873800,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201372772796,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201374021539,0.003384,0.003385,0.00337846,0.0033883,0.003381,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201374023757,0.003384,0.003385,0.00337846,0.0033883,0.003381,0.003387,0.00338036,0.00338008,0.0033822,0.0033792,
638143201374932505,0.003384,0.003385,0.00337846,0.0033883,0.003381,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201374932942,0.003384,0.003385,0.00337846,0.0033883,0.003381,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201375865625,0.003384,0.003385,0.00337846,0.0033883,0.003381,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201376955215,0.003384,0.003385,0.00337846,0.0033883,0.003381,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201376955725,0.003384,0.003385,0.00337846,0.0033883,0.003381,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201378001923,0.003384,0.003385,0.00337846,0.0033883,0.003381,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201378931217,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201381931498,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201381932515,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201383152722,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201384846299,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201384849153,0.003385,0.003386,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201384849733,0.003385,0.003386,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201384929915,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201384930514,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201385817320,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201385818068,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201385995254,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201386240560,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201386964760,0.003385,0.003386,0.00337846,0.0033883,0.003383,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
638143201387008088,0.003385,0.003386,0.00337846,0.0033883,0.003382,0.003386,0.00338036,0.00338008,0.0033822,0.0033792,
