time,binanceETHBTCbidMax,binanceETHBTCsellMin,nicehashETHBTCbidMax,nicehashETHBTCsellMin,okxETHBTCETH-BTCbidMax,okxETHBTCETH-BTCsellMin,bitstampETHBTCbidMax,bitstampETHBTCsellMin,cryptoETHBTCbidMax,cryptoETHBTCsellMin,
638143201299924904,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201300678583,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201302099169,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201302101493,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201302859035,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201302862154,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201303919257,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201304740362,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201305900782,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201305952838,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201306670180,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201306672202,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201307825891,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201308809365,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201308809949,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201309847960,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201309848670,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201311021511,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201311022538,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201311981388,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201312844940,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201313883573,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201314894923,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201315724619,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201316868724,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201317776515,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201318899604,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201319728455,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201320848445,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201321789216,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201323777084,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201324875831,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201325824599,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201326941389,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201327837775,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.0694,0.06949,0.06934096,0.069446,0.06938,
638143201329088350,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201329089198,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201329955111,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201330865849,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201331743459,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201332813998,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201333880938,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201334935402,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201334982336,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201335778928,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201336892521,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201336893075,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201337946069,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201338850729,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201339773814,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201340877631,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201341790769,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201342710675,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201343832177,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201344756609,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201345906482,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201346762978,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201347889152,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201348820842,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201350076881,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201351033638,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201352856079,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201353847728,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201354694532,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201355827038,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201356748305,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201357244385,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201358953338,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201359823256,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201360887089,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201361800828,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201363840389,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201364750661,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201365847780,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201367843947,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201369743561,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201370970249,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201371936946,0.069366,0.069367,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
