time,binanceAAVEBTCbidMax,binanceAAVEBTCsellMin,nicehashAAVEBTCbidMax,nicehashAAVEBTCsellMin,okxAAVEBTCAAVE-BTCbidMax,okxAAVEBTCAAVE-BTCsellMin,bitstampAAVEBTCbidMax,bitstampAAVEBTCsellMin,cryptoAAVEBTCbidMax,cryptoAAVEBTCsellMin,
638143199729868034,0,0,0,0,0.003153,0.003157,0.00315389,0.00316202,0.0031498,0.0031638,
638143199730907993,0,0,0,0,0.003153,0.003157,0.00315389,0.00316202,0.0031498,0.0031638,
638143199733867100,0,0,0,0,0.003153,0.003157,0.00315389,0.00316202,0.0031498,0.0031638,
638143199734452839,0,0,0,0,0.003153,0.003157,0.00315389,0.00316202,0.0031498,0.0031638,
638143199735152749,0,0,0,0,0.003153,0.003157,0.00315389,0.00316202,0.0031498,0.0031638,
638143199735978244,0,0,0,0,0.003153,0.003157,0.00315389,0.00316202,0.0031498,0.0031638,
638143199736883365,0,0,0,0,0.003153,0.003156,0.00315389,0.00316202,0.0031498,0.0031638,
638143199737901016,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199741107931,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199746707002,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199751869849,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199755127921,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199757431931,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199762440529,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199767501587,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199772921816,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199778055548,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199783587530,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199788689118,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199794260529,0,0,0,0,0.003153,0.003155,0.00315389,0.00316202,0.0031498,0.0031638,
638143199796871180,0,0,0,0,0.003153,0.003161,0.00315389,0.00316202,0.0031498,0.0031638,
638143199796938957,0,0,0,0,0.003153,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199796939643,0,0,0,0,0.003153,0.00316,0.00315389,0.00316202,0.0031498,0.0031638,
638143199798016653,0,0,0,0,0.003153,0.003158,0.00315389,0.00316202,0.0031498,0.0031638,
638143199798017297,0,0,0,0,0.003153,0.003158,0.00315389,0.00316202,0.0031498,0.0031638,
638143199799370437,0,0,0,0,0.003153,0.003158,0.00315389,0.00316202,0.0031498,0.0031638,
638143199799967612,0,0,0,0,0.003153,0.003158,0.00315389,0.00316202,0.0031498,0.0031638,
638143199799968297,0,0,0,0,0.003153,0.003158,0.00315389,0.00316202,0.0031498,0.0031638,
638143199800857873,0,0,0,0,0.003154,0.003158,0.00315389,0.00316202,0.0031498,0.0031638,
638143199801977956,0,0,0,0,0.003154,0.003158,0.00315389,0.00316202,0.0031498,0.0031638,
638143199802038375,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199805020070,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
638143199808008704,0,0,0,0,0.003154,0.003158,0.00315397,0.00316202,0.0031498,0.0031638,
